ID,TITRE_DOSSIER,N_PIECES;,DATE;,OBSERVATIONS,CONTENU;,ANA_DIPLOM,CLI_FOUR;,L'INTERIEUR_DE_LA_COUR_DU_SIEGE,SIEGE_DE_LA_SONABHY,SONABHY,CONTRE_L'INCENDIE,AUX_COMPTES_I,AUX_COMPTES_II,AUX_COMPTES_III,INCENDIE_I,INCENDIE_II,WAGONS-CITERNES_A_BINGO_I,WAGONS-CITERNES_A_BINGO_II,DEPOT_DE_BOBO,"""TITRE_DOSSIER","DATE;""",BINGO,BINGO_II,SIEGE,II,AU_DEPOT,DU_SIEGE,DE_COMPTE,COMPTABILITE,
1,ACHATS,"0001, 0075","JANVIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACHATS,"0076, 0268","FEVRIER, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ACHATS,"0269, 0431","MARS, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACHATS,"0432, 0585","MARS, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ACHATS,"0586, 0760","AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACHATS,"0761, 0880","AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ACHATS,"0881, 1015","AVRIL, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ACHATS,"1016, 1172","MAI, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ACHATS,"1173, 1324","MAI, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ACHATS,"1325, 1498","JUIN, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ACHATS,"1499, 1616","JUIN, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ACHATS,"1617, 1797","JUILLET, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ACHATS,"1798, 1963","JUILLET, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ACHATS,"1964, 2113","AOUT, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ACHATS,"2114, 2251","AOUT, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ACHATS,"2252, 2379","SEPTEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ACHATS,"2380, 2516","SEPTEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ACHATS,"2517, 2659","OCTOBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ACHATS,"2660, 2790","OCTOBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ACHATS,"2791, 2943","NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ACHATS,"2944, 3072","NOVEMBRE, 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,
