Code,TITRE,CONTENU,ANA. DIPLOM,DATE
0001/CJ,CONSEIL D'ADMINISTRATION DE LA SONABHY : 6 JUILLET 1999 (CJ),"SONABHY, PETROFA, SIR, SKI, PETRO-SERVICES, TOTAL OUTRE MER, ADDAX, ETAT BURKINABE, PERFORMANCE MANAGEMENT CONSULTING, MARKETER.","(CONTRAT, CONVENTION)",2000.
0002/CJ,"CONTRATS-PLAN, CONVENTIONS ET PROTOCOLES : SONABHY ET SIR, STSL, TRAFIGURA, ETAT ET SOSUCO, STD-SODIGAZ, TOTAL AFRIQUE, TORNO, BARRO SEYDOU, GESTOCI, ADDAX, LNBTP","CONTRAT-PLAN, SIR, STSL, TRAFIGURA, SONABHY, LNBTP, STD SODIGAZ APC, TOTAL AFRIQUE, TORNO, BARRO SEYDOU, GESTOCI, ADDAX.","(CONTRAT, CORRESPONDANCE)",1986. 1988-1990. 1997.
0003/CJ,"CONTRATS ET CONVENTIONS : SONABHY ET STSL, ZEDCOM, PRIDE PETROLEUM, PIERRE NACOULMA, DG COOP, ADDAX, SITARAIL, TOTAL","SONABHY, STSL, ZEDCOM, PRIDE PETROLEUM, PIERRE NACOULMA, DG COOP, ADDAX, SITARAIL, TOTAL","(CONTRAT, CONVENTION)",2000-2004. 2006.
0004/CJ,"CONTRATS ET CONVENTIONS : SONABHY ET ETAT BURKINABE, IBI-CORP., TAGUI, STD-SODIGAZ, ELF OIL BURKINA, BURKINA ET SHELL, KABORE SALAM, MOBIL OIL BURKINA, SIFA, SOFITEX, PORT AUTONOME DE COTONOU ET ORYX BENIN, ME BAADHIO, AVIDOR.","SONABHY, ETAT BURKINABE, IBI-CORP., TAGUI, STD SODIGAZ APC, ELF OIL BURKINA, BURKINA ET SHELL, KABORE SALAM, MOBIL OIL BURKINA, SIFA, SOFITEX, PORT AUTONOME DE COTONOU, ORYX BENIN, ME BAADHIO, AVIDOR.",,
0005/CJ,JURIDIQUE ET CONTENTIEUX : CONVENTION : BURKINA FASO ET SITARAIL + CONVENTION DE TRANSPORT DU 03 AVRIL 1996 + AVENANT N°01 DU 03 AVRIL 1996 : SONABHY ET SOTHY,"CONTRAT, CONVENTION, SONABHY, SOTHY, SITARAIL, BURKINA FASO.","(CONTRAT, CONVENTION, CORRESPONDANCE, BROCHURE)",1996-1997.
0006/CJ,"ASSURANCES SONABHY AVEC SONAR, SICAR, UAB, FONCIAS 1988-1993 ; ASSURANCES SONAR 2002","ASSURANCE, SONABHY, SONAR, SICAR, UAB, FONCIAS.","(CORRESPONDANCE, DOCUMENT DE SOUSCRIPTION)",1988-1993. 2002.
0007/CJ,TEXTES LEGISLATIFS : ARRETE DELEGUE DU PERSONNEL ; LOI SUR CODE DE PROCEDURE CIVILE ; DECRET SUR RAPPORTS LOCATAIRES ET BAILLEURS ; LOI SUR EMPLOI ET AGENTS FONCTION PUBLIQUE ; BAR-ME HONORAIRE DES AVOCATS ET SOLDE ; VEILLE REGLEMENTAIRE,"TEXTE LEGISLATIF, DELEGUE DU PERSONNEL, PROCEDURE CIVILE, LOCATION, IMMEUBLE, AVOCAT, BUDGET, SONABHY, DROIT COMMERCIAL.","(ARRETE, DECRET, LOI, BAREME)",1952. 1994. 1998.
0008/CJ,ACTES JUDICIAIRES : SONABHY ET BURKINA SHELL,,,
0009/CJ,ACTE JUDICIAIRE SONABHY ET SONACOP ; SONABHY ET SDV,"SONABHY, SONACOP, SDV.","(CORRESPONDANCE, CONTRAT)",1992-1993. 1995.
0010/CJ,ACTES JUDICAIRES : SONABHY ET TAGUI : COURRIER,"SONABHY, TAGUI, ACTE JUDICIAIRE.","(CORRESPONDANCE, FACTURE, NOTE)",1993-1995.
0011/CJ,ACTES JUDICIAIRES : SONABHY ET TAGUI : ETAT DES CREANCES,"SONABHY, TAGUI, CREANCE, ACTE JUDICIAIRE.","(FACTURE, ETAT )",1992-1994. 2001.
0012/CJ,ACTES JUDICIAIRES : TAGUI ET SONABHY : PLAN DE REDRESSEMENT,"TAGUI, SONABHY, PLAN DE REDRESSEMENT, ACTE JUDICIAIRE.","(PLAN, CORRESPONDANCE)",1993. 1995. 2000.
0013/CJ,"ACTES JUDICIAIRES : SONABHY ET KONE OMAR, KABORE J MARCELLIN, BARRY SALIFOU, PASSERE KARIM, SOME MARIE MADELEINE, OUEDRAOGO HAMADE, COFAMA ET FADOUL, SANOU S SERGE, KONE BONAVENTURE, OUEDRAOGO DESIRE","SONABHY, KONE OMAR, KABORE J MARCELLIN, BARRY SALIFOU, PASSERE KARIM, SOME MARIE MADELEINE, OUEDRAOGO HAMADE, COFAMA ET FADOUL, SANOU S SERGE, KONE BONAVENTURE, OUEDRAOGO DESIRE, ACTE JUDICIAIRE.","(CORRESPONDANCE, ETAT, CONVENTION)",1993-1996. 1998-2000. 2004.
