ID,Cote,Intitulé,Période début,Type,Quantité,Fonction,Code fonction,Mots-clés,Types de documents,Date ouverture,Date clôture,Système,Durée conservation,Sort final,Période fin,Observations
1,0001/GRH,GESTION DES RESSOURCES HUMAINES: CONVENTION DE STAGE JANVIER,JANVIER 2020,DOSSIER,37 PIECES,GESTION DES RESSOURCES HUMAINES,GRH,STAGE; RESSOURCE HUMAINE; APPRENTISSAGE,CONVENTION DE STAGE,30-09-2021,20-04-2022,DOCUPERS,05 ANS,DESTRUCTION,,
2,0067/GRM,GESTION DES BIENS ET SERVICES : PROCES VERBAUX DE RECEPTION,2020,DOSSIER,01 PIECE,GERER LES RESSOURCES MATERIELLES,GRM,MARCHE; RECEPTION DE MARCHE,PROCES VERBAL DE RECEPTION,12/01/2022,23/09/2022,NON,10 ANS,DESTRUCTION,,
3,0066/GRM,GESTION DES BIENS ET SERVICES : DELIVRANCE D'ATTESTATION DE,2020,DOSSIER,10 PIECES,GERER LES RESSOURCES MATERIELLES,GRM,PRESTATION DE SERVICE; GARDIENNAGE,ATTESTATION DE SERVICE FAIT,12/01/2022,23/09/2022,NON,10 ANS,DESTRUCTION,,
4,0001/GFC,GESTION FINANCIERE ET COMPTABLE: TRANSPORT DE PRODUITS,JANVIER 2020,DOSSIER,911 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,24-08-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
5,0002 /GFC,GESTION FINANCIERE ET COMPTABLE: TRANSPORT DE PRODUITS,FEVRIER 2020,DOSSIER,900 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,24-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
6,0003 /GFC,GESTION FINANCIERE ET COMPTABLE: TRANSPORT DE PRODUITS,MARS 2020,DOSSIER,961 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,24-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
7,0004 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,AVRIL 2020,DOSSIER,659 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,24-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
8,0005 /GFC,GESTION FINANCIERE ET COMPTABLE: TRANSPORT DE PRODUITS,MAI 2020,DOSSIER,PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,24-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
9,0006 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,JUIN 2020,DOSSIER,593 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,25-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
10,0007 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,JUILLET 2020,DOSSIER,813 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,25-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
11,0008 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,AOUT 2020,DOSSIER,819 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,25-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
12,0009 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,SEPTEMBRE 2020,DOSSIER,798 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,25-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
