ref,titre,contenu,analyse_diplomatique,annee
0001/COL,DOSSIER D'AGREMENT EN QUALITE DE DISTRIBUTEUR DE PRODUITS PETROLIERS PAR MEGA ENERGIE,"PRODUIT PETROLIER, DISTRIBUTION, MEGA ENERGIE, AGREMENT","(CORRESPONDANCE, STATUT, ETAT, RECEPISSE, ARRETE, ATTESTATION)",2010
0002/COL,DOSSIER D'AGREMENT EN QUALITE DE DISTRIBUTEUR DE PRODUITS PETROLIERS PAR PETRO AFRIQUE,"PRODUIT PETROLIER, AGREMENT, DISTRIBUTION, PETRO AFRIQUE","(CORRESPONDANCE, STATUT, ETAT, RECEPISSE, ATTESTATION)",2010
0003/COL,DOSSIER DE RENOUVELLEMENT D'AGREMENT AVEC LA SONABHY PAR SOFATRA,"PRODUIT PETROLIER, AGREMENT, DISTRIBUTION, SONABHY, SOFATRA","(CORRESPONDANCE, ETAT, ATTESTATION)",2010
0001/TPP,Bons d'enlèvement janvier 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : JANVIER,",2010 OBSERVATIONS  : 647 pièces PASSAGE GED   : DOCUCOM
0002/TPP,Bons d'enlèvement février 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : FEVRIER,",2010 OBSERVATIONS  : 857 pièces PASSAGE GED   : DOCUCOM
0003/TPP,Bons d'enlèvement mars 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : MARS,",2010 OBSERVATIONS  : 977 pièces PASSAGE GED   : DOCUCOM
0004/TPP,Bons d'enlèvement avril 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : AVRIL,",2010 OBSERVATIONS  : 920 pièces PASSAGE GED   : DOCUCOM
0005/TPP,Bons d'enlèvement mai 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : MAI,",2010 OBSERVATIONS  : 895 pièces PASSAGE GED   : DOCUCOM
0006/TPP,Bons d'enlèvement juin 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : JUIN,",2010 OBSERVATIONS  : 598 pièces PASSAGE GED   : DOCUCOM
0007/TPP,Bons d'enlèvement juillet 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : JUILLET,",2010 OBSERVATIONS  : 990 pièces PASSAGE GED   : DOCUCOM
0008/TPP,Bons d'enlèvement août 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : AOUT,",2010 OBSERVATIONS  : 686 pièces PASSAGE GED   : DOCUCOM
0009/TPP,Bons d'enlèvement septembre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : SEPTEMBRE,",2010 OBSERVATIONS  : 765 pièces PASSAGE GED   : DOCUCOM
0010/TPP,Bons d'enlèvement octobre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : OCTOBRE,",2010 OBSERVATIONS  : 548 pièces PASSAGE GED   : DOCUCOM
0011/TPP,Bons d'enlèvement novembre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : NOVEMBRE,",2010 OBSERVATIONS  : 446 pièces PASSAGE GED   : DOCUCOM
0012/TPP,Bons d'enlèvement décembre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : DECEMBRE,",2010 OBSERVATIONS  : 364 pièces PASSAGE GED   : DOCUCOM
0013/TPP,Bons d'enlèvement janvier 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : JANVIER,",2010 OBSERVATIONS  : 517 pièces PASSAGE GED   : DOCUCOM
0014/TPP,Bons d'enlèvement février 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : FEVRIER,",2010 OBSERVATIONS  : 933 pièces PASSAGE GED   : DOCUCOM
0015/TPP,Bons d'enlèvement mars 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : MARS,",2010 OBSERVATIONS  : 1107 pièces PASSAGE GED   : DOCUCOM
0016/TPP,Bons d'enlèvement avril 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : AVRIL,",2010 OBSERVATIONS  : 997 pièces PASSAGE GED   : DOCUCOM
0017/TPP,Bons d'enlèvement mai 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : MAI,",2010 OBSERVATIONS  : 978 pièces PASSAGE GED   : DOCUCOM
0018/TPP,Bons d'enlèvement juin 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : JUIN,",2010 OBSERVATIONS  : 986 pièces PASSAGE GED   : DOCUCOM
0019/TPP,Bons d'enlèvement juillet 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : JUILLET,",2010 OBSERVATIONS  : 979 pièces PASSAGE GED   : DOCUCOM
0020/TPP,Bons d'enlèvement août 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : AOUT,",2010 OBSERVATIONS  : 862 pièces PASSAGE GED   : DOCUCOM
0021/TPP,Bons d'enlèvement septembre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : SEPTEMBRE,",2010 OBSERVATIONS  : 861 pièces PASSAGE GED   : DOCUCOM
0022/TPP,Bons d'enlèvement octobre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : OCTOBRE,",2010 OBSERVATIONS  : 1077 pièces PASSAGE GED   : DOCUCOM
0023/TPP,Bons d'enlèvement novembre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : NOVEMBRE,",2010 OBSERVATIONS  : 1008 pièces PASSAGE GED   : DOCUCOM
0024/TPP,Bons d'enlèvement décembre 2010,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER","(BON D'ENLEVEMENT) MOIS : DECEMBRE,",2010 OBSERVATIONS  : 1043 pièces PASSAGE GED   : DOCUCOM
0025/TPP,Bons de livraison 2010-2011,"LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO",(BON DE LIVRAISON),2010-2011 OBSERVATIONS  : 631pièces PASSAGE GED   : DOCUCOM SORT FINAL : Destruction
0026/TPP,Etats de livraison de PP 2010,"LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO",(ETAT DE LIVRAISON),2010 OBSERVATIONS  : 181pièces PASSAGE GED   : DOCUCOM SORT FINAL : Destruction
0027/TPP,Etats de livraison de PP 2011,"LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO",(ETAT DE LIVRAISON),2011 OBSERVATIONS  : 126 pièces PASSAGE GED   : DOCUCOM SORT FINAL : Destruction
0001/FRP,Factures de ventes de produits pétroliers TOTAL BURKINA janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, TOTAL BURKINA","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 1063 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0002/FRP,Factures de ventes de produits pétroliers BURKINA & SHELL janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, BURKINA & SHELL","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 565 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0003/FRP,Factures de ventes de produits pétroliers PETROFA janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PETROFA","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 725 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0004/FRP,Factures de ventes de produits pétroliers ORYX BURKINA janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ORYX BURKINA BURKINA","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 924 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0005/FRP,Factures de ventes de produits pétroliers STD SODOGAZ janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, STD SODIGAZ","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 634 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0006/FRP,Factures de ventes de produits pétroliers ECODIS janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ECODIS","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 518 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0007/FRP,Factures de ventes de produits pétroliers SKI janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SKI","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 445 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0008/FRP,Factures de ventes de produits pétroliers LIBYA OIL janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, LIBYA OIL BURKINA","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 447 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0009/FRP,Factures de ventes de produits pétroliers SOGEL janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOGEL BURKINA","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 274 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0010/FRP,Factures de ventes de produits pétroliers OTAM janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, OTAM","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 259 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0011/FRP,Factures de ventes de produits pétroliers PETRODIS janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PETRODIS","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 411 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0012/FRP,Factures de ventes de produits pétroliers SODIS OIL janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SODIS OIL","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 293 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0013/FRP,Factures de ventes de produits pétroliers PLUF janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PLUF","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 257 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0014/FRP,Factures de ventes de produits pétroliers SOBUCOP SA janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOBUCOP SA","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 289 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
