cote_rangement,titre,dates_extremes,niveau_description,importance_materielle,provenance_ou_processus,initial_processus,mots_cles_matieres,analyse_diplomatique,date_versement,date_enregistrement,passage_ged,duree_utilite_admin,sort_final,notes
 0001/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME SIR, TRAFIGURA, ADDAX, PETROCI", JANVIER 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  ADDAX,  PETROCI", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0002/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, ADDAX, SIR, PETROCI", FEVRIER 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  TRAFIGURA,  ADDAX,  SIR,  PETROCI", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0003/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ADDAX", MARS 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ADDAX", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0004/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ADDAX, TIT", AVRIL 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ADDAX,  TIT", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0005/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ADDAX, ASPEN", MAI 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ADDAX,  ASPEN", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0006/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ADDAX, AMKO TRADING, TIT, ASPEN, PETROFA", JUIN 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ADDAX,  TIT,  PETROFA,  ASPEN,  AMKO TRADING", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0007/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ADDAX, AMKO TRADING, ASPEN, TIT, PETROFA", JUILLET 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ADDAX,  TIT,  ASPEN,  PETROFA,  AMKO TRADING", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0008/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, ADDAX, TIT, ASPEN, AMKO TRADING, PETROFA", AOêT 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROFA,  ADDAX,  TIT,  ASPEN,  AMKO TRADING", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0009/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ADDAX, PETROFA, ASPEN, TIT, AMKO TRADING", SEPTEMBRE 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ADDAX,  TIT,  AMKO TRADING,  ASPEN,  PETROFA", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
 0010/APP," ACHAT DE PRODUITS PETOLIERS : CONTRAT A TERME TRAFIGURA, SIR, PETROCI, ASPEN, AMKO TRADING, TIT, PETROFA", OCTOBRE 2020, DOSSIER, PIECES, GERER LES ACHATS DE PRODUITS PETROLIERS, GAPP," ACHAT,  PRODUIT PETROLIER,  CONTRACTUALISATION,  SIR,  TRAFIGURA,  PETROCI,  ASPEN,  AMKO TRADING,  TIT,  PETROFA", CONTRAT, 05-07-2021, 14-10-2021, DOCUCOM, 10 ANS, CONSERVATION DEFINITIVE,
