ref,cote,titre,analyse_diplomatique,date,contenu
0001,0001/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JANVIER I , 2000",
0002,0002/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JANVIER II , 2000",
0003,0003/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JANVIER III , 2000",
0004,0004/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JANVIER IV , 2000",
0005,0005/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"FEVRIER I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0006,0006/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"FEVRIER II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0007,0007/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"FEVRIER III , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0008,0008/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MARS I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0009,0009/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MARS II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0010,0010/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MARS III , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0011,0011/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MARS IV , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0012,0012/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"AVRIL I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0013,0013/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"AVRIL II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0014,0014/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"AVRIL III , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0015,0015/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MAI I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0016,0016/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MAI II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0017,0017/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"MAI III , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0018,0018/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JUIN I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0019,0019/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JUIN II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0020,0020/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JUILLET I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0021,0021/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"JUILLET II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0022,0022/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"AOUT I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0023,0023/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"AOUT II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0024,0024/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"SEPTEMBRE I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0025,0025/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"SEPTEMBRE II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0026,0026/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"OCTOBRE I , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
0027,0027/SMO,SOUCHES DES BORDEREAUX DE LIVRAISON,(SOUCHE),"OCTOBRE II , 2000","BORDEREAU DE LIVRAISON, PRODUIT PETROLIER"
