date_versement,date_enregistrement,provenance,cote,titre,contenu,analyse,dates_extremes,annee,duree_utilite,sort_final,initial,niveau_description,importance_materielle,ged
 ANCIEN FONDS, O2-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0001/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE NOVEMBRE 1981 A JUIN 1984,TRANSMISSION; COURRIER; SEHBI, REGISTRE, DECEMBRE 1981-  JUIN 1984,1981; 1982; 1983; 1984, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0002/RTC, COMMUNICATION INTERNE ET EXTERNE :REGISTRE DE TRANSMISSION DU COURRIER DE JUILLET 1984 A AVRIL 1989,TRANSMISSION; COURRIER; SEHBI, REGISTRE, JUILLET 1984 - AVRIL 1989,1984; 1985; 1986; 1987; 1988; 1989, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0003/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE JANVIER 1985 A MARS 1989,TRANSMISSION; COURRIER, REGISTRE, JANVIER 1985 - MARS 1989,1985; 1986; 1987; 1988; 1989, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0004/RTC, COMMUNICATION INTERNE ET EXTERNE: REGISTRE DE TRANSMISSION DU COURRIER DE MAI 1986 A JANVIER 1988,TRANSMISSION; COURRIER, REGISTRE, MAI 1986 - JANVIER 1988,1986; 1987; 1988, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0005/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE FEVRIER 1987 A AVRIL 1989,TRANSMISSION; COURRIER, REGISTRE, FEVRIER 1987 - AVRIL 1989,1987; 1988; 1989, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0006 /RTC, COMMUNICATION INTERNE ET EXTERNE: REGISTRE DE TRANSMISSION DU COURRIER DE AVRIL 1987 A MAI 1989,TRANSMISSION; COURRIER, REGISTRE, AVRIL 1987 - MAI 1989,1987; 1988; 1989, VALIDITE, COONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0007/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE DECEMBRE 1987 A AOUT 1996,TRANSMISSION; COURRIER, REGISTRE, DECEMBRE 1987 - MAIS 1996,1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0008/RTC, COMMUNICATION INTERNE ET EXTERNE:REGISTRE DE TRANSMISSION DU COURRIER DE AOUT 1988 A SEPTEMBRE 1989,TRANSMISSION; COURRIER, REGISTRE, AOUT 1988 - SEPTEMBRE 1989,1988; 1989, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0009/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER SE DECEMBRE 1988 A AVRIL 1990,TRANSMISSION; COURRIER, REGISTRE, DECEMBRE 1988 - AVRIL 1990,1988; 1989; 19990, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 02-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0010/RTC, COMMNICATION INTERNE ET EXTERNE: REGISTRE DE TRANSMISSION DU COURRIER DE MARS 1989 A NOVEMBRE 1990,TRANSMISSION; COURRIER, REGISTRE, MARS 1989 - NOVEMBRE 1990,1989; 1990, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
