ref,cote,titre,contenu,analyse_diplomatique,date
00001,0001/GDE,"RENCONTRE GOUVERNEMENT ET SECTEUR PRIVE DU 7, 8 ET 11 JUIN 2010","GOUVERNEMENT, SECTEUR PRIVE, INVESTISSEMENT, ECONOMIE","(RAPPORT, COMPTE RENDU, CORRESPONDANCE, RESUME, PROGRAMME)",2010
00002,0002/GDE,PROPOSITION DE SUJET DANS LE DOMAINE DU GAZ BUTANE PAR STD SODIGAZ,"GAZ BUTANE, STD SODIGAZ APC, BOUTEILLE DE GAZ, SECTEUR INFORMEL",(NOTE),2010
00003,0003/GDE,QUESTION ORALE AVEC DEBAT DE L'HONORABLE DEPUTE NORBERT MICHEL TIENDREBEOGO A L'ASSEMBLEE NATIONALE LE 23 AVRIL 2010,"ASSEMBLEE NATIONALE, SONABHY, HYDROCARBURE, GPL SERVICES, TIENDREBEOGO NORBERT M, AFRIQUE OCCIDENTALE","(AIDE MEMOIRE, CORRESPONDANCE, ETAT) AVRIL 2010",
00004,0004/GDE,DIAGNOSTICS SECTORIELS ET THEMATIQUES SECTEUR PRIVE ET COMPETITIVITE 2000-2009,"SECTEUR PRIVE, COMPETIVITE, DIAGNOSTIC, ECONOMIE","(RAPPORT, CORRESPONDANCE, SYNTHESE)",2010
00005,0005/GDE,PASSATION DE SERVICE ENTRE JEAN HUBERT YAMEOGO DG SORTANT ET PAUL MARIE COMPAORE DG ENTRANT,"PASSATION DE SERVICE, DIRECTION GENERALE, YAMEOGO JEAN HUBERT, COMPAORE PAUL MARIE","(PROCES VERBAL, DOSSIER ADMINISTRATIF, DOSSIER TECHNIQUE, DOSSIER SPECIFIQUE) DATE;: 06 JUIN 2010 PASSAGE GED   : DOCESSEN",
00006,0001/GSI,MISE EN OEUVRE DE L'ERP : PROCESSUS DE GESTION DES ACHATS AUTRES PRODUITS PAR SOMAFOR,"ERP, JDE EDWARDS ENTERPRISEONE, ACHAT, AUTRE PRODUIT, SOMAFOR",(MANUEL),2011
00007,0001/RAI,AUDIT INDEPENDANT DES MARCHES PUBLICS AVEC LA SONABHY 2008-2009,"AUDIT, MARCHE PUBLIC, SONABHY, GESTION, CICE, ARMP","(RAPPORT, CORRESPONDANCE, PROGRAMME, TERME DE REFERENCE) 2011, 2014",
00008,0001/PMQ,MANUEL DE MANAGEMENT DE LA QUALITE A LA SONABHY 2010,"QUALITE, SYSTEME DE MANAGEMENT DE LA QUALITE, SONABHY, NORME, ISO 9001-2008","(MANUEL, CORRESPONDANCE) PASSAGE GED   : DOCESSEN",2010
00009,0001/GCR,LETTRE DEPART JANVIER 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) JANVIER 2010 PASSAGE GED   : DOCUCOUR,
00010,0002/GCR,LETTRES DEPART FEVRIER 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) FEVRIER 2010 PASSAGE GED   : DOCUCOUR,
00011,0003/GCR,LETTRES DEPART MARS 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) MARS 2010 PASSAGE GED   : DOCUCOUR,
00012,0004/GCR,LETTRES DEPART AVRIL 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) AVRIL 2010 PASSAGE GED   : DOCUCOUR,
00013,0005/GCR,LETTRES DEPART MAI 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) MAI 2010 PASSAGE GED   : DOCUCOUR,
00014,0006/GCR,LETTRES DEPART JUIN 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) JUIN 2010 PASSAGE GED   : DOCUCOUR,
00015,0007/GCR,LETTRES DEPART JUILLET 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) JUILLET 2010 PASSAGE GED   : DOCUCOUR,
00016,0008/GCR,LETTRES DEPART AOUT 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) AOUT 2010 PASSAGE GED   : DOCUCOUR,
00017,0009/GCR,LETTRES DEPART SEPTEMBRE 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) SEPTEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00018,0010/GCR,LETTRES DEPART OCTOBRE 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) OCTOBRE 2010 PASSAGE GED   : DOCUCOUR,
00019,0011/GCR,LETTRES DEPART NOVEMBRE 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) NOVEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00020,0012/GCR,LETTRES DEPART DECEMBRE 2010,"LETTRE DEPART, SONABHY",(CORRESPONDANCE) DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00021,0013/GCR,LETTRE ARRIVEE JANVIER  2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) JANVIER 2010 PASSAGE GED   : DOCUCOUR,
00022,0014/GCR,LETTRES ARRIVEE FERVIER 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) FEVRIER 2010 PASSAGE GED   : DOCUCOUR,
00023,0015/GCR,LETTRES ARRIVEE MARS 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) MARS 2010 PASSAGE GED   : DOCUCOUR,
00024,0016/GCR,LETTRES ARRIVEE AVRIL 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) AVRIL 2010 PASSAGE GED   : DOCUCOUR,
00025,0017/GCR,LETTRES ARRIVEE MAI 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) MAI 2010 PASSAGE GED   : DOCUCOUR,
00026,0018/GCR,LETTRES ARRIVEE JUIN 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) JUIN 2010 PASSAGE GED   : DOCUCOUR,
00027,0019/GCR,LETTRE ARRIVEE JUILLET 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) JUILLET 2010 PASSAGE GED   : DOCUCOUR,
00028,0020/GCR,LETTRES ARRIVEE AOUT 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) AOUT 2010 PASSAGE GED   : DOCUCOUR,
00029,0021/GCR,LETTRES ARRIVEE SEPTEMBRE 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) SEPTEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00030,0022/GCR,LETTRES ARRIVEE OCTOBRE 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) OCTOBRE 2010 PASSAGE GED   : DOCUCOUR,
00031,0023/GCR,LETTRES ARRIVEE NOVEMBRE 2010,"LETTRE ARRIVEE , SONABHY",(CORRESPONDANCE) NOVEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00032,0024/GCR,LETTRES ARRIVEE DECEMBRE 2010,"LETTRE ARRIVEE, SONABHY",(CORRESPONDANCE) DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00033,0025/GCR,COURRIER INTERNE JANVIER 2010,"COURRIER INTERNE, SONABHY",(CORRESPONDANCE) JANVIER 2010 PASSAGE GED   : DOCUCOUR,
00034,0026/GCR,COURRIER INTERNE FEVRIER 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) FEVRIER 2010 PASSAGE GED   : DOCUCOUR,
00035,0027/GCR,COURRIER INTERNE MARS 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) MARS 2010 PASSAGE GED   : DOCUCOUR,
00036,0028/GCR,COURRIER INTERNE AVRIL 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) AVRIL 2010 PASSAGE GED   : DOCUCOUR,
00037,0029/GCR,COURRIER INTERNE MAI 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) MAI 2010 PASSAGE GED   : DOCUCOUR,
00038,0030/GCR,COURRIER INTERNE JUIN 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) JUIN  2010 PASSAGE GED   : DOCUCOUR,
00039,0031/GCR,COURRIER INTERNE,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) JUILLET  2010 PASSAGE GED   : DOCUCOUR,
00040,0032/GCR,COURRIER INTERNE AOUT 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) AOUT 2010 PASSAGE GED   : DOCUCOUR,
00041,0033/GCR,COURRIER INTERNE SEPTEMBRE 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) SEPTEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00042,0034/GCR,COURRIER INTERNE OCTOBRE 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) OCTOBRE 2010 PASSAGE GED   : DOCUCOUR,
00043,0035/GCR,COURRIER INTERNE NOVEMBRE 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) NOVEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00044,0036/GCR,COURRIER INTERNE DECEMBRE 2010,"SONABHY, COURRIER INTERNE",(CORRESPONDANCE) NOVEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00045,0037/GCR,FAX DEPART JANVIER 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) JANVIER 2010 PASSAGE GED   : DOCUCOUR,
00046,0038/GCR,FAX DEPART FEVRIER 2010,SONABHY,(CORRESPONDANCE) FEVRIER 2010 PASSAGE GED   : DOCUCOUR,
00047,0039/GCR,FAX DEPART MARS 2010,FAX DEPART,(CORRESPONDANCE) MARS 2010 PASSAGE GED   : DOCUCOUR,
00048,0040/GCR,FAX DEPART AVRIL 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) AVRIL 2010 PASSAGE GED   : DOCUCOUR,
00049,0041/GCR,FAX DEPART MAI 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) MAI 2010 PASSAGE GED   : DOCUCOUR,
00050,0042/GCR,FAX DEPART JUIN 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) JUIN 2010 PASSAGE GED   : DOCUCOUR,
00051,0043/GCR,FAX DEPART JUILLET 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) JUILLET 2010 PASSAGE GED   : DOCUCOUR,
00052,0044/GCR,FAX DEPART AOUT 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) AOUT 2010 PASSAGE GED   : DOCUCOUR,
00053,0045/GCR,FAX DEPART SEPTEMBRE 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) SEPTEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00054,0046/GCR,FAX DEPART,"SONABHY, FAX DEPART",(CORRESPONDANCE) OCTOBRE 2010 PASSAGE GED   : DOCUCOUR,
00055,0047/GCR,FAX DEPART NOVEMBRE 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) NOVEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00056,0048/GCR,FAX DEPART DECEMBRE 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00057,0049/GCR,FAX ARRIVEE JANVIER 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) JANVIER 2010 PASSAGE GED   : DOCUCOUR,
00058,0050/GCR,FAX DEPART FERVIER 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) FEVRIER 2010 PASSAGE GED   : DOCUCOUR,
