cote_rangement,titre,dates_extremes,niveau_description,importance_materielle,provenance_ou_processus,initial_processus,mots_cles_matieres,analyse_diplomatique,date_versement,date_enregistrement,passage_ged,duree_utilite_admin,sort_final,notes
 0001/GDE, GESTION DES DOCUMENTS ESSENTIELS : DELIBERATIONS DES CONSEILS D'ADMINISTRATION 2020-2029 : 2020 (Nø1 -20), 2020, DOSSIER, 40 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI (GDE)," CONSEIL D'ADMINISTRATION,  PROGRAMME D'ACTIVITE,  BUDGET,  ADOPTION DU PROCES VERBAL,  GESTION FINANCIERE ET COMPTABLE,  SONABHY,  CONTROLE,  ASCE-LC,  MARCHE PUBLIC", DELIBERATION, 2020, 15-05-2020, DOCESSEN, 05 ANS, CONSERVATION DEFINITIVE,
 0001/RAI, REALISATION DES AUDITS INTERNES : AUDIT ENVIRONNEMENTAL DU SITE DU DEPOT DE BOBO., 2020, DOSSIER, 1 PIECE, REALISER LES AUDITS INTERNES, RAI," AUDIT ENVIRONNEMENTAL,  ENVIRONNEMENT,  DEPOT DE BOBO,  BUNEE", RAPPORT, 31-08-2020, 17-09-2020, DOCESSEN, VALIDITE, CONSERVATION DEFINITIVE,
 0001/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA MARS 2020, 2020, DOSSIER, 06 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0002/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA AVRIL 2020, 2020, DOSSIER, 05 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0003/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA MAI 2020, 2020, DOSSIER, 06 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0004/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA JUIN 2020, 2020, DOSSIER, 07 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0005/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA JUILLET2020, 2020, DOSSIER, 05 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0006/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA AOUT 2020, 2020, DOSSIER, 06 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0007/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA OCTOBRE 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0008/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA NOVEMBRE 2020, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0009/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE DEPART DU PCA DECEMBRE 2020, 2020, DOSSIER, 05 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 25 AVRIL 2022, DOCUCOUR,,,
 0010/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA MARS 2020, 2020, DOSSIER, 03 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0011/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA AVRIL 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
