MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,PASSAGE GED,SORT FINAL,OBSERVATIONS
00001,0001/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",02 JANVIER 2010,2010,OUI,DESTRUCTION,
00002,0002/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",06 JANVIER 2010,2010,OUI,DESTRUCTION,
00003,0003/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",07 JANVIER 2010,2010,OUI,DESTRUCTION,
00004,0004/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",08 JANVIER 2010,2010,OUI,DESTRUCTION,
00005,0005/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",03 MARS 2010,2010,OUI,DESTRUCTION,
00042,0042/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",05 MARS 2010,2010,OUI,DESTRUCTION,
00043,0043/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",07 MARS 2010,2010,OUI,DESTRUCTION,
00044,0044/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",09 MARS 2010,2010,OUI,DESTRUCTION,
00045,0044/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",09 MARS 2010,2010,OUI,CONSERVATION,
00441,0436/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT DE CHARGEMENT GAZ AGENTS SONABHY 2012,"CHARGEMENT, SOTIE GAZ, AGENT SONABHY, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),2012,2012,OUI,CONSERVATION,
