ID,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,ANNEE,PASSAGE GED,SORT FINAL
00001,0514/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRAVAIL A DUREE DETERMINEE N°11/1919 DU 25 AOUT 2011 + CONTRAT DE TRAVAIL A DUREE DETERMINEE N°12/1812 DU 23 AOUT 2012:SONABHY ET SAWADOGO ISSOUFOU,"TRAVAIL, CONTRAT A DUREE DETERMINEE, SONABHY, SAWADOGO ISSOUFOU",(CONTRAT),"2011, 2012",DOCESSEN,
00002,0515/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE LIVRAISON DE 7700 TM D'ESSENCE N°13/146 DU 24 DECEMBRE 2013 + CONTRAT DE VENTE N°11/066 DU 22 AOUT 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/021 DU 09 MARS 2012 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/018 DU 05 MARS 2012 + LIVRAISON DE 10 000 TM DE SUPER 91 CIF N°12/0056 DU 11 MAI 2012 + CONTRAT DE LIVRAISON DE PRODUITS PETROLIERS N°13/114 DU 19 SEPTEMBRE 2013 + CONTRAT DE LIVRAISON DE JET A1 N°13/147 DU 24 DECEMBRE 2013 + CONTRAT DE LIVRAISON DE JET A1 N°13/148 DU 24 DECEMBRE 2013 + CONTRAT DE,"VENTE, PRODUIT PETROLIER, LIVRAISON, PRET, SONABHY, MERCURIA TRADING",(CONTRAT),"2011, 2012, 2013, 2016",DOCESSEN,
00003,0516/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS N°11/058 DU 29 JUIN 2011 + AVENANT N°14/0099 DU 15 JUILLET 2014 + CONTRAT DE VENTE N°19/0102 DU 22 MARS 2019 + CONTRAT DE VENTE N°22/0169 DU 21 AVRIL 2022 + CONTRAT ACHAT N°23/0534,"VENTE, PRODUIT PETROLIER, SONABHY, ADDAX ENERGY","(CONTRAT, AVENANT)","2011, 2014, 2019, 2022, 2023",DOCESSEN,
00004,0517/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT N°11/0064 DU 02 AOUT 2011 + AVENANT N°13/0134 DU 20,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FASO LAWULI","(CONTRAT, AVENANT)","2011, 2013, 2017",DOCESSEN,
00005,0518/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE OUEDRAOGO ALY",(CONTRAT),2011,DOCESSEN,
00006,0519/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT D'ENTRETIEN N°2011/001/ASC DU 14 JUILLET 2011 + CONTRAT,"ENTRETIEN, ASCENSEUR, SONABHY, CFAO TECHNOLOGIES",(CONTRAT),"2011, 2015",DOCESSEN,
00007,0520/CJ,CONTRAT D'ENTRETIEN DES CLIMATISEURS,"ENTRETIEN, CLIMATISEUR, SONABHY, CFAO TECHNOLOGIES",(CONTRAT),2011,DOCESSEN,
00008,0521/CJ,CONVENTION SUBSIDIAIRE PORTANT RETROCESSION SOUS FORME DE PRET DU CREDIT BID D16. i/ACPBF.TXT DU 24,"CONVENTION, CREDIT, BID, MINISTERE DE L'ECONOMIE ET DES FINANCES, SONABHY, RETROCESSION",(CONTRAT),1997,DOCESSEN,
00009,0522/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE FUEL OIL CAF LOME DU 22 DECEMBRE 2010 + CONTRAT DE VENTE DU 03 AVRIL 2015 + CONTRAT N°16/0468 DU 19 OCTOBRE 2016 + CONTRAT A TERME N°14/0006 DU 05 FEVRIER 2014 + AVENANT N°21/0111 DU 11 MAI 2021 + CONTRAT DE VENTE N°22/0005 DU 10 JANVIER 2022 + AVENANT N°22/0579 DU 14 NOVEMBRE 2022 + CONTRAT DE VENTE N°23/0298 DU 02 JUIN 2023 +CONTRAT DE VENTE N°23/0329 DU 23 JUIN 2023 + AVENANT N°23/0491 DU 09 NOVEMBRE 2023 +AVENANT N°23/0548 DU 14 DECEMBRE 2023 + CONTRAT D'ACHAT N°24/0241 DU 14 JUIN 2024 + CONTRAT,"VENTE, ACHAT, FUEL OIL, PRODUIT PETROLIER, SONABHY, TRAFIGURA","(CONTRAT, AVENANT)","2010, 2014, 2015, 2016, 2021, 2022, 2023, 2024",DOCESSEN,
00010,0523/CJ,CONTRAT DE TRAVAIL  A DUREE DETERMINEE N°10/150 DU 27 JANVIER 2010 + CONTRAT N° 14/1765 DU 18 JUIN 2014,"TRAVAIL, MANUTENTION, SONABHY, NIKIEMA KOUDBI",(CONTRAT),"2010, 2014-2015",DOCESSEN,
