ID,Cote,Titre,Contenu Dossier,Analyse Diplomatique,Date Extrême,Année,Passage GED,Sort Finale
00001,0001/GRM,TITRE/DOSSIER : DOSSIERS D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR SALEM GROUP 2010,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, SALEM GROUP, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE)",,2010,,
00002,0002/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR IMPRIMERIE DE L'AVENIR DU BURKINA 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , IMPRIMERIE DE L'AVENIR DU BURKINA , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00003,0002/GRH,TITRE/DOSSIER : FIXATION DE LA REMUNERATION ET AVANCEMENT DU DIRECTEUR GENERAL DE LA SONABHY,"REMUNERATION, AVANCEMENT, NOTATION, CONSEIL D'ADMINISTRATION, DIRECTION GENERALE, RESSOURCE HUMAINE, SONABHY","(DELIBERATION, ETAT, NOTE)",19971999200320052011,,DOCUCOUR,
00004,0003/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR TA.RAL 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , TA.RAL, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00005,0004/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR IVALOR INTERNATIONAL 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , IVALOR INTERNATIONAL, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00006,0005/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR PAT@RB TEECH 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , PAT@RB TEECH, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00007,0006/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR C.B.CO SARL 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , C.B.CO SARL, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00008,0007/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ETS KABRE LASSANE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , ETS KABRE LASSANE , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00009,0008/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR CJR TRADING & SERVICE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , CJR TRADING & SERVICE , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00010,0009/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR COBUTAM BURKINA 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , COBUTAM, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00011,0010/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ETS OUEDAF 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , ETS OUEDAF, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00012,0011/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR UNIVERS SERVICE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , UNIVERS SERVICE , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00013,0012/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR IMPRIMERIE SDM LES DIX M 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , IMPRIMERIE SDM , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00014,0013/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ARC 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , ARC, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00015,0014/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR MICROTECH 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , MICROTECH, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00016,0015/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR PCM CONSOMMABLE MAINTENANCE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , PCM CONSOMMABLE MAINTENANCE, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00017,0016/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR WIL.COM 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , WIL.COM, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00018,0017/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSONMMABLE PAR DIACFA DIVISION 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , DIACFA DIVISION, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00019,0018/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR I.A.G. IMPRIMERIE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , I.A.G. IMPRIMERIE, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00020,0019/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR NAWFAL TRADING 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , NAWFAL TRADING, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
