reference,cote,auteur,titre,publication,pagination,descripteurs
001CE.0001,001CE.0001,AFNOR,Catalogue 1993 : 49ème édition : des normes pour se mesurer,"Paris : AFNOR, 1993",919p,/CATALOGUE//NORME/
002CE.0002,002CE.0002,AFNOR,Catalogue des recueils de normes 1993,"Paris : AFNOR, 1993",35p,/NORME//CATALOGUE/
003CE.0003,003CE.0003,SIFOR,Catalogue des actions de formation programmées pour 1989,"Paris : SIFOR, 1989",no pag,/CATALOGUE//FORMATION/
004CE.0004,004CE.0004,SIFOR,Catalogue des actions de formation année 1990,"Paris : éd. SIFOR, 1990",No pag,/CATALOGUE//FORMATION/
005AN.0008,005AN.0008,UAPT,Annuaire officiel télex télécopie 1994-1995,"Lomé : UAPT, s.d.",mult pag,/ANNUAIRE//TELECOPIE/
006AN.0009,006AN.0009,HELIOS EDITION,Hélioscope : l'annuaire professionnel du Faso 1996/1997,"Ouagadougou : HELIOS éd., s.d.",232p,/ANNUAIRE//PROFESSION//COMMERCE/INDUSTRIE//BURKINA FASO/
007AN.0010,007AN.0010,CCIA-BF,Annuaire des entreprises 1989-1990,"Ouagadougou : CCIA, s.d.",147p,/ANNUAIRE//ENTREPRISE//BURKINA FASO/
008AN.0011,008AN.0011,SPI,Ecocarte : magasins et services affiliés,"s.l. : SPI, 1994",177p,/ANNUAIRE//COMMERCE//PROFESSION/
009AN.0012,009AN.0012,HEC,"MBA maîtrise en administration des affaires, DSA diplôme en sciences administratives : annuaire 91-92","Montréal : HEC, 1991",48p,/ANNUAIRE//ADMINISTRATION//FORMATION//SCIENCE/
010AN.0013,010AN.0013,SONABHY,Annuaire statistique 1994,"Ouagadougou : SONABHY, 1995",25p,/ANNUAIRE//STATISTIQUE//PRODUIT PETROLIER//BURKINA FASO/
011CM.0001,011CM.0001,MANUTAN,Export Manutan : matériel de manutention et d'équipement industriel 1993,"Paris : MANUTAN, 1993",872p,/CATALOGUE//MANUTENTION//MATERIEL//EQUIPEMENT//INDUSTRIE/
012CM.0002,012CM.0002,MANUTAN,Export Manutan : matériel de manutention et d'équipement industriel 1994,"Paris : MANUTAN, 1994",904p,/CATALOGUE//MANUTENTION//MATERIEL//EQUIPEMENT//INDUSTRIE/
013CM.0003,013CM.0003,MANUTAN,Export Manutan : matériel de manutention et d'équipement industriel 1997,"Paris : MANUTAN, 1997",1076p,/CATALOGUE//MANUTENTION//MATERIEL//EQUIPEMENT//INDUSTRIE/
014CM.0004,014CM.0004,MANUTAN,Export Manutan : matériel de manutention et d'équipement industriel 1998,"Paris : MANUTAN, 1998",1099p,/CATALOGUE//MANUTENTION//MATERIEL//EQUIPEMENT//INDUSTRIE/
015CM.0005,015CM.0005,JM BRUNEAU,Le N°1 de l'équipement de bureau par correspondance Janvier 1997,"s.l. : JM BRUNEAU, 1997",311p,/CATALOGUE//EQUIPEMENT//BUREAU/
016CM.0006,016CM.0006,JM BRUNEAU,Le N°1 de l'équipement de bureau par correspondance Juin 1997,"s.l. : JM BRUNEAU, 1997",331p,/CATALOGUE//EQUIPEMENT//BUREAU/
017CM.0007,017CM.0007,JM BRUNEAU,Le N°1 de l'équipement de bureau par correspondance Septembre 1997,"s.l. : JM BRUNEAU, 1997",399p,/CATALOGUE//EQUIPEMENT//BUREAU/
018CE.0005,018CE.0005,EDITION TECHNIP,Catalogue 1996 : Our books in English at the end of this catalog,"Paris : éd. Technip, 1995",196p,/CATALOGUE//EDITION//LIVRE/
