ID;CODE;TITRE;CONTENU;ANA_DIPLOM;DATE;OBSERVATIONS;PASSAGE_GED;BASE_GED
1;0001/CJ;Conseil D'Administration De La Sonabhy : 6 Juillet 1999 (CJ);Sonabhy, Petrofa, SIR, SKI, Petro-Services, Total Outre MER, Addax, Etat Burkinabe, Performance Management Consulting, Marketer;contrat, convention;2000;;;
2;0002/CJ;Contrats-Plan, Conventions Et Protocoles : Sonabhy Et Sir, Stsl, Trafigura, Etat Et Sosuco, Std-Sodigaz, Total Afrique, Torno, Barro Seydou, Gestoci, Addax, Lnbtp;Contrat-Plan, SIR, Stsl, Trafigura, Sonabhy, Lnbtp, STD Sodigaz APC, Total Afrique, Torno, Barro Seydou, Gestoci, Addax;contrat, correspondance;1986, 1988-1990, 1997;;;
3;0003/CJ;Contrats Et Conventions : Sonabhy Et Stsl, Zedcom, Pride Petroleum, Pierre Nacoulma, Dg Coop, Addax, Sitarail, Total;Sonabhy, Stsl, Zedcom, Pride Petroleum, Pierre Nacoulma, DG Coop, Addax, Sitarail, Total;contrat, convention;2000-2004, 2006;;;
4;0004/CJ;Contrats Et Conventions : Sonabhy Et Etat Burkinabe, Ibi-Corp., Tagui, Std-Sodigaz, Elf Oil Burkina, Burkina Et Shell, Kabore Salam, Mobil Oil Burkina, Sifa, Sofitex, Port Autonome De Cotonou Et Oryx Benin, Me Baadhio, Avidor;Sonabhy, Etat Burkinabe, IBI-Corp., Tagui, STD Sodigaz APC, ELF OIL Burkina, Burkina ET Shell, Kabore Salam, Mobil OIL Burkina, Sifa, Sofitex, Port Autonome DE Cotonou, Oryx Benin, ME Baadhio, Avidor;contrat, convention;1991, 1993, 1994, 1995, 1997-1999;;;
5;0005/CJ;Juridique Et Contentieux : Convention : Burkina Faso Et Sitarail + Convention De Transport Du 03 Avril 1996 + Avenant N°01 Du 03 Avril 1996 : Sonabhy Et Sothy;Contrat, Convention, Sonabhy, Sothy, Sitarail, Burkina Faso;contrat, convention, correspondance, brochure;1996-1997;;;
6;0006/CJ;"Assurances Sonabhy Avec Sonar, Sicar, Uab, Foncias 1988-1993 ; Assurances Sonar 2002";Assurance, Sonabhy, Sonar, Sicar, UAB, Foncias;correspondance, document de souscription;1988-1993, 2002;;;
7;0007/CJ;"Textes Legislatifs : Arrete Delegue Du Personnel ; Loi Sur Code De Procedure Civile ; Decret Sur Rapports Locataires Et Bailleurs ; Loi Sur Emploi Et Agents Fonction Publique ; Bar-Me Honoraire Des Avocats Et Solde ; Veille Reglementaire";Texte Legislatif, Delegue DU Personnel, Procedure Civile, Location, Immeuble, Avocat, Budget, Sonabhy, Droit Commercial;arrete, decret, loi, bareme;1952, 1994, 1998;;;
8;0008/CJ;Actes Judiciaires : Sonabhy Et Burkina Shell 1991-1999;Sonabhy, Burkina ET Shell, Acte Judiciaire;correspondance, contrat, convention, texte legislatif;1999;;;
9;0009/CJ;"Acte Judiciaire Sonabhy Et Sonacop ; Sonabhy Et Sdv";Sonabhy, Sonacop, SDV;correspondance, contrat;1992-1993, 1995;;;
10;0010/CJ;Actes Judiciaires : Sonabhy Et Tagui : Courrier;Sonabhy, Tagui, Acte Judiciaire;correspondance, facture, note;1993-1995;;;
11;0011/CJ;Actes Judiciaires : Sonabhy Et Tagui : Etat Des Creances;Sonabhy, Tagui, Creance, Acte Judiciaire;facture, etat;1992-1994, 2001;;;
12;0012/CJ;Actes Judiciaires : Tagui Et Sonabhy : Plan De Redressement;Tagui, Sonabhy, Plan De Redressement, Acte Judiciaire;plan, correspondance;1993, 1995, 2000;;;
13;0013/CJ;Actes Judiciaires : Sonabhy Et Kone Omar, Kabore J Marcellin, Barry Salifou, Passere Karim, Some Marie Madeleine, Ouedraogo Hamade, Cofama Et Fadoul, Sanou S Serge, Kone Bonaventure, Ouedraogo Desire;Sonabhy, Kone Omar, Kabore J Marcellin, Barry Salifou, Passere Karim, Some Marie Madeleine, Ouedraogo Hamade, Cofama Et Fadoul, Sanou S Serge, Kone Bonaventure, Ouedraogo Desire, Acte Judiciaire;correspondance, etat, convention;1993-1996, 1998-2000, 2004;;;
14;0014/CJ;Actes Judiciaires : Burkina Et Shell, Onbah, Faso Yaar, Garage Kaddy, Lnbtp, Bicia, Total, Mobil Oil Burkina, Elf Oil Burkina, Dg Pimc, Foncias, Cmc Impresit, Italgaz, Bp Burkina, Torno;Burkina ET Shell, ONBAH, Faso Yaar, Garage Kaddy, LNBTP, BICIA, Total, Mobil OIL Burkina, ELF OIL Burkina, PIMC, Foncias, CMC Impresit, Italgaz, BP Burkina, Torno, Acte Judiciaire;correspondance, facture, contrat, deliberation;1995-2000;;;
15;0015/CJ;Actes Judiciaires : Sonabhy Et Tagui : Assignation, Redressement Judiciaire, Deliberation, Reglement, Conclusion;Sonabhy, Tagui, Acte Judiciaire;communique, correspondance;1994-1997, 2001-2004;;;
16;0016/CJ;"Etude Juridique : Projet De Transport D'Hydrocarbure SBTH Avec Sonabhy Et Gestafrique ; Comite De Lutte Contre La Fraude";Sonabhy, Gestafrique, SBTH, Fraude;correspondance;1993, 1995;;;
17;0017/CJ;Etude Juridique : Projet De Reforme Du Secteur De L'energie Au Burkina Faso;Energie, Burkina Faso, Reforme;rapport, courrier, compte rendu, commentaire;1996, 1999, 2001-2003;;;
