ID,Code,Titre_dossier,CONTENU,Analyse_diplomatique,DATE,Numeros_pieces,OBSERVATIONS,Passage_GED,Base_GED,Sort_final
00001,0001/SP,BULLETIN DE PAIE 2000,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JANVIER-MAI, 2000",,,,,
00002,0002/SP,BULLETIN DE PAIE 2000,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JUIN-SEPTEMBRE , 2000",,,,,
00003,0003/SP,BULLETIN DE PAIE 2000,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"OCTOBRE-DECEMBRE, 13è MOIS, 2000",,,,,
00004,0004/SP,BULLETIN DE PAIE 2001,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JANVIER-MAI, 2001",,,,,
00005,0005/SP,BULLETIN DE PAIE 2001,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JUIN-SEPTEMBRE, 2001",,,,,
00006,0006/SP,BULLETIN DE PAIE 2001,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"OCTOBRE-DECEMBRE,  13è MOIS, 2001",,,,,
00007,0007/SP,BULLETIN DE PAIE 2002,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JANVIER-MAI, 2002",,,,,
00008,0008/SP,BULLETIN DE PAIE 2002,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JUIN-SEPTEMBRE, 2002",,,,,
00009,0009/SP,BULLETIN DE PAIE 2002,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"OCTOBRE-DECEMBRE, 13è MOIS, 2002",,,,,
00010,0010/SP,BULLETIN DE PAIE 2003,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JANVIER-MAI, 2003",,,,,
00011,0011/SP,BULLETIN DE PAIE 2003,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JUIN-SEPTEMBRE, 2003",,,,,
00012,0012/SP,BULLETIN DE PAIE 2003,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"OCTOBRE-DECEMBRE, 13è MOIS, 2003",,,,,
00013,0013/SP,BULLETIN DE PAIE 2004,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JANVIER-MAI, 2004",,,,,
00014,0014/SP,BULLETIN DE PAIE 2004,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JUIN-SEPTEMBRE, 2004",,,,,
00015,0015/SP,BULLETIN DE PAIE 2004,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"OCTOBRE-DECEMBRE, 13è MOIS, 2004",,,,,
00016,0016/SP,BULLETIN DE PAIE 2005,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"JANVIER-AVRIL, 2005",,,,,
00017,0017/SP,BULLETIN DE PAIE 2005,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"MAI-AOUT, 2005",,,,,
00018,0018/SP,BULLETIN DE PAIE 2005,"PAIE, PERSONNEL",(BULLETIN DE PAIE),"OCTOBRE-DECEMBRE, 13è MOIS, 2005",,,,,
00019,0019/SP,TRAITEMENT DES SALAIRES 2000,"PAIE, PERSONNEL",(DOCUMENT POUR LE TRAITEMENT DES SALAIRES),"JANVIER-JUIN, 2000",,,,,
00020,0020/SP,TRAITEMENT DES SALAIRES 2000,"PAIE, PERSONNEL",(DOCUMENT POUR LE TRAITEMENT DES SALAIRES),"JUILLET-DECEMBRE , 2000",,,,,
00021,0021/SP,TRAITEMENT DES SALAIRES 2001,"PAIE, PERSONNEL",(DOCUMENT POUR LE TRAITEMENT DES SALAIRES),"JANVIER-JUIN, 2001",,,,,
00022,0022/SP,TRAITEMENT DES SALAIRES 2001,"PAIE, PERSONNEL",(DOCUMENT POUR LE TRAITEMENT DES SALAIRES),"JUILLET-DECEMBRE, 13è MOIS, 2001",,,,,
00023,0023/SP,TRAITEMENT DES SALAIRES JANVIER-JUIN 2002,"PAIE, RESSOURCE HUMAINE",(JUSTICATIFS DE SALAIRE),"JANVIER-JUIN, 2002",,,,,
00024,0024/SP,TRAITEMENT DES SALAIRES JUILLET - DECEMBRE 2002,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"JULLET-DECEMBRE , 2002",,,,,
00025,0025/SP,TRAITEMENT DES SALAIRES JANVIER-JUIN 2003,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"JANVIER-JUIN , 2003",,,,,
00026,0026/SP,TRAITEMENT DES SALAIRES DE JUILLET- DECEMBRE 2003,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIF DE SALAIRE),"JUILLET-DECEMBRE , 2003",,,,,
00027,0027/SP,TRAITEMENT DES SALAIRES JANVIER - MAI 2004,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"JANVIER-MAI, 2004",,,,,
00028,0028/SP,TRAITEMENT DES SALAIRES JUIN - SEPTEMBRE 2004,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"JUIN - SEPTEMBRE, 2004",,,,,
00029,0029/SP,TRAITEMENT DES SALAIRES OCTOBRE - DECEMBRE 2004,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"OCTOBRE - DECEMBRE, 2004",,,,,
00030,0030/SP,TRAITEMENT DES SALAIRES JANVIER 2005,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"JANVIER, 2005",,,,,
00031,0031/SP,TRAITEMENT DES SALAIRES JANVIER - AOUT 2005,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"JANVIER-AOUT, 2005",,,,,
