ID,Code,TITRE/DOSSIER,CONTENU,N° PIECES,DATE,OBSERVATIONS,SORT FINAL,ANA. DIPLOM.,PASSAGE GED,BASE GED
00001,0001/GRM,DOSSIERS D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR SALEM GROUP,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, SALEM GROUP, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE)",NON,
00002,0002/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR IMPRIMERIE DE L'AVENIR DU BURKINA,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, IMPRIMERIE DE L'AVENIR DU BURKINA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00003,0002/GRH,FIXATION DE LA REMUNERATION ET AVANCEMENT DU DIRECTEUR GENERAL DE LA SONABHY,"REMUNERATION, AVANCEMENT, NOTATION, CONSEIL D'ADMINISTRATION, DIRECTION GENERALE, RESSOURCE HUMAINE, SONABHY",,1997 1999 2003 2005 2011,,,"(DELIBERATION, ETAT, NOTE)",OUI,DOCUCOUR
00004,0003/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR TA.RAL,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, TA.RAL, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00005,0004/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR IVALOR INTERNATIONAL,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, IVALOR INTERNATIONAL, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00006,0005/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR PAT@RB TEECH,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, PAT@RB TEECH, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00007,0006/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR C.B.CO SARL,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, C.B.CO SARL, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00008,0007/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ETS KABRE LASSANE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, ETS KABRE LASSANE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00009,0008/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR CJR TRADING & SERVICE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, CJR TRADING & SERVICE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00010,0009/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR COBUTAM BURKINA,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, COBUTAM, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
