cote,auteur,titre,adresse,description_tech,descrip_matiere
DIS.001,GROUPE REVUE FIDUCIAIRE,Archiver dans une entreprise privée commerciale,"Paris : GRF, s.d.",1 disquette : format RTF word PC,/ARCHIVES//ENTREPRISE PRIVEE//COMMERCE/
DIS.002,GROUPE REVUE FIDUCIAIRE,Consultation des archives dans une entreprise privée,"Paris : GRF, s.d.",1 disquette : format RTF word PC,/ARCHIVES//ENTREPRISE PRIVEE//COMMERCE/
DVD.001,SONABHY,Pourquoi la folie des pompes ?,"[ouagadougou] : SONABHY, 2007","1 DVD : 52 min, coul.",/PRIX DU
CDR.001,BURKINA FASO (MPDH),Code de protection de l'enfance : recueil des textes,"Ouagadougou : MPDH, 2006",1 CD-ROM : 700 mb / 80 min,/ENFANCE//DROIT HUMAIN/
CDR.002,HERMES ; LAVOISIER,Catalogue complet : plus de 2000 ouvrages,"Paris : HERMES, LAVOISIER, 2005",1 cd rom,/CATALOGUE//DOCUMENTATION//INFORMATION DOCUMENTAIRE/
CDR.003,AFNOR,Records management : gestion et conservation des,"Saint-Denis la Plaine : AFNOR, 2004",1 cd rom,/GESTION DOCUMENTAIRE//RECORDS
CDR.004,INSTITUT FRANCAIS DE PETROLE,Economie de la chaîne pétrolière,"Paris : IFP, s.d.","730 mb, 80 min",/ECONOMIE PETROLIERE//PETROLE//PRODUCTION
CDR.005,INSTITUT FRANCAIS DE PETROLE,Les marchés pétroliers,"Paris : IFP, s.d.","730 mb, 80 min",/MARCHE PETROLIER//PETROLE//PRIX DU BARIL/
CDR.006,CONSEIL BURKINABE DES CHARGEURS,Incidences crise ivoirienne ; desserte maritime,"Ouagadougou : CBC, 2004",1 cd-rom,/TRANSPORT//DESSERTE MARITIME//CRISE ECONOMIQUE/
CDR.007,LIAISONS SOCIALES,Jurisprudence sociale et code du travail,"Ruel-Malmaison : Groupe LIAISONS SA, 2004",1 cd rom,/JURISPRUDENCE//CODE DU TRAVAIL//LEGISLATION SOCIALE/
CDR.008,LIAISONS SOCIALES,"Les archives du quotidien 2001, 2002, 2003","Ruel-Malmaison : Groupe LIAISONS, 2004",1 cd rom,/ARCHIVES//GESTION
CDR.009,AIF ; IEPF,"Informations, références et textes choisis sur le","s.l. : IEPF, 2002",1 cd rom,/DEVELOPPEMENT DURABLE//DEVELOPPEMENT ECONOMIQUE ET
CDR.010,GROUPE REVUE FIDUCIAIRE,"Le formulaire de l'entreprise juridique, commercial,","Paris : GRF, 2008",1cd-rom,/ENTREPRISE//DROIT//COMMERCE//SOCIAL//FISCALITE/
CDR.011,BURKINA FASO (MCPEA),Balance commerciale et commerce extérieur 1997-2002,"Ouagadougou : MCPEA, 2006",1 cd-rom ; 299p,/COMMERCE//COMMERCE EXTERIEUR//BALANCE COMMERCIALE/
CDR.012,INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA,"Les comptes économiques de la nation , série de","Ouagadougou : INSD, 2009.",,/ECONOMIE//COMPTE//RESSOURCE FINANCIERE//MATERIEL/
CDR.013,INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA,La population du Burkina Faso de 1997-2006 : par,"Ouagadougou : INSD, 2009.",,/RECENSEMENT//POPULATION//STATISTIQUE//DEMOGRAPHIE/
CDR.014,INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA,Projections demographiques de 2007 à 2020 : par région,"Ouagadougou : INSD, 2009.",,/PROJECTION
CDR.015,INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA,"Conceptions, définitions, indicateurs, méthodologies,","Ouagadougou : INSD, 2009.",,/STATISTIQUE//METHODOLOGIE//DEMOGRAPHIE/
CDR.016/DVD.002,SONABHY,Cérémonie de présentation de voeux du personnel de la,"Ouagadougou : SONABHY, 2010.",,/PRESENTATION//VOEUX//SONABHY/
CDR.017,CHAMBRE DE COMMERCE ET D'INDUSTRIE DU BURKINA FASO,Récueil des notes sectorielles 2009-2010,Ouagadougou : Chambre de Commerce et d'Industrie du,39p : ill. en coul.,/TOURISME//TRANSPORT//ENERGIE//ELEVAGE//ECONOMIE/
CDR.018,SONABHY,SERIE D'ENTRETIENS AVEC LES RESPONSABLES DE LA SONABHY,"[ OUAGADOUGOU ] : SONABHY, 2008",02H 04MN,/TRAORE OULA//PRODUCTION PETROLIERE//OUEDRAOGO
CDR.019,,Rapport annuel = annual report 1999,,"CDROM ; 56,6 MO",/DEVELOPPEMENT ECONOMIQUE ET
PHO.001,SONABHY,PRESENTATION DE VOEUX,,"PHO. 12,5/8,5 ET 18/12,5cm, EN COUL.",/PRESENTATION// VOEUX/
PHO.002,SONABHY,PRESENTATION DE VOEUX,,"PHO.16,5/12,5cm; EN COUL.",/PRESENTATION//VOEUX//YAMEOGO JOSEPH GERMAIN/
PHO.003,SONABHY,PRESENTATION DE VOEUX,,"PHO.18/12,5cm; EN COUL.",
PHO.004,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX//YAMEOGO JOSEPH GERMAIN/
PHO.005,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.006,SONABHY,PRESENTATION DE VOEUX,,"PHO.28/32cm,15/21cm,12,5/16cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.007,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.008,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.009,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.010,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.011,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.012,SONABHY,PRESENTATION DE VOEUX,,"PHO.15,5/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.013,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.014,SONABHY,PRESENTATION DE VOEUX,,"PHO.16/12,5cm; EN COUL.",/PRESENTATION//VOEUX/
PHO.015,SONABHY,INAUGURATION,,"PHO.15/10,5cm, 18/12,5cm; EN COUL",/INAUGURATION//THOMBIANO/
PHO.016,SONABHY,INAUGURATION,,"PHO.16/12,5cm; EN COUL.",/INAUGURATION/
PHO.017,SONABHY,INAUGURATION DE NOUVELLE INSTALLATION AU DEPOT DE BOBO,,"PHO.15,5/12,5cm; EN COUL.",/INAUGURATION//INSTALLATION//BOBO/
PHO.018,SONABHY,INAUGURATION,,"PHO.12,5/8,5cm; EN COUL.",/INAUGURATION/
PHO.019,SONABHY,INAUGURATION,,"PHO.12,5/8,5cm; EN COUL.",/INAUGURATION/
PHO.020,SONABHY,INAUGURATION,,"PHO.17,5/12,5cm; EN COUL.",/INAUGURATION/
PHO.021,SONABHY,INAUGURATION,,"PHO.15,5/12,5cm; EN COUL.",/INAUGURATION/
PHO.022,SONABHY,INAUGURATION,,"PHO.15,5/12,5cm; EN COUL.",/INAUGURATION/
PHO.023,SONABHY,INAUGURATION,,"PHO.16,5/12,5cm; EN COUL.",/INAUGURATION/
PHO.024,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.16/12,5cm; EN COUL..",/ARBRE//NOEL//ENFANT/
PHO.025,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.16/12,5cm; EN COUL.",/ARBRE//NOEL//ENFANT/
PHO.026,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.15/12,5cm; EN COUL.",/ARBRE//NOEL// ENFANT/
PHO.027,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.16/12,5cm; EN COUL.",/ARBRE//NOEL//ENFANT/
PHO.028,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.16/12,5cm; EN COUL.",/ARBRE//NOEL//ENFANT/
PHO.029,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.16/12,5cm; EN COUL.",/ARBRE//NOEL//ENFANT/
PHO.030,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.16/12,5cm; EN COUL.",/ARBRE//NOEL//ENFANT/
PHO.031,SONABHY,ARBRE DE NOEL DES ENFANTS,,"PHO.18/12,5cm; EN COUL",/ARBRE//NOEL//ENFANT/
PHO.032,SONABHY,PRESENTATION DE SIEGE ET DEPOT,,"PHO.16,5/12cm; EN COUL.",/PRESENTATION//SIEGE//DEPOT/
PHO.033,SONABHY,PRESENTATION DE SIEGE ET DEPOT,,"PHO.12,5/16cm; EN COUL.",/PRESENTATION//SIEGE//DEPOT/
PHO.034,SONABHY,JOURNEE PROMOTIONNELLE-GAZ,,"PHO.8,5/12,5cm, 11/16cm; EN COUL.",/GAZ//PROMOTIONNELLE//JOURNEE/
PHO.035,SONABHY,"JOURNEE""PORTES OUVRTES""",,"PHO.12,5/17,5cm; EN COUL.",/JOURNEE//PORTE//OUVERTE/
PHO.036,SONABHY,CONVENTION DU PERSONNEL SUR LE PLAN STRATEGIQUE,,"PHO.12,5/17,5cm; EN COUL.",/CONVENTION//PLAN STRATEGIQUE//SONABHY//RESSOURCE
PHO.037,SONABHY,CONVENTION DU PERSONNEL SUR LE PLAN STRATEGIQUE,,"PHO.12/18cm, 8/12cm; EN COUL. ET NOIR-BLANC",/CONVENTION//PLAN STRATEGIQUE//SONABHY//RESSOURCE
PHO.038,SONABHY,INCENDIE AU DEPOT DE BINGO,,"PHO.12,5/18cm; EN COUL.",/DEPOT DE BINGO//INCENDIE/
PHO.039,,ABNVS FAIR PLAY: CERTIFICATION DE RECONNAISSANCE A,,"PHO.17,5/12cm; EN COUL.",/ABNVS FAIR PLAY//YAMEOGO JEAN HUBERT//RECONNAISSANCE/
CDR.020,MICROSOFT LICENSING,Microsoft Windows Server 2003,"Ouagadougou : MICROSOFT CORPORATION, 2003",7 CD,
CDR.021,MICROSOFT LICENSING,Microsoft Exchange 2003,"Ouagadougou : MICROSOFT CORPORATION, 2003",/MICROSOFT//LICENCE//WINDOWS//EXCHANGE/,
CDR.022,MICROSOFT LICENSING,Microsoft Corporate Error Reporting,"Ouagadougou : MICROSOFT CORPORATION, 2003",1 CD,/MICROSOFT//LOGICIEL//WINDOWS/
CDR.023,MICROSOFT LICENSING,Microsoft Exchange Server 2003 : Intelligent Message,"Ouagadougou : MICROSOFT CORPORATION, 2004",,/MICROSOFT//WINDOWS//EXCHANGE//SERVEUR/
CDR.024,MICROSOFT LICENSING,Microsoft Windows : Preinstallation Environnement 2004,"Ouagadougou : MICROSOFT CORPORATION, 2004",,/MICROSOFT//WINDOWS//ENVIRONNEMENT//LOGICIEL/
CDR.025,MICROSOFT LICENSING,Microsoft Windows : Préinstallation Environnement 2004,"Ouagadougou : MICROSOFT CORPORATION, 2005",,/MICROSOFT//WINDOWS//LOGICIEL//ENVIRONNEMENT/
CDR.026,MICROSOFT LICENSING,Microsoft : SQL Server 2005,"Ouagadougou : MICROSOFT CORPORATION, 2006",,/MICROSOFT//SQL//SERVEUR//LOGICIEL/
CDR.027,MICROSOFT LICENSING,Microsoft : SQL Server 2005,"Ouagadougou : MICROSOFT CORPORATION, 2006",CD 1 et 2,/MICROSOFT//SQL//SERVEUR/
CDR.028,MICROSOFT LICENSING,Microsoft Windows Server 2003 R2 : Servers Windows,"Ouagadougou : MICROSOFT CORPORATION, 2006",Standard x64 Edition,/MICROSOFT//WINDOWS//SERVEUR/
CDR.029,MICROSOFT LICENSING,Microsoft Virtual PC Express Early Release,"Ouagadougou : MICROSOFT CORPORATION, 2006",,/MICROSOFT//ASSURANCE//LOGICIEL//MATERIEL INFORMATIQUE/
DVD.003,MICROSOFT LICENSING,Microsoft SQL Server 2005,"Ouagadougou : MICROSOFT CORPORATION, 2006",1 CD,/MICROSOFT//SQL//SERVEUR//LOGICIEL/
DVD.004,MICROSOFT LICENSING,Microsoft SQL Server 2005,"Ouagadougou : MICROSOFT CORPORATION, 2006",1 DVD,/MICROSOFT//SQL//SERVEUR/
DVD.005,MICROSOFT LICENSING,Microsoft SQL Server 2005,"Ouagadougou : MICROSOFT CORPORATION, 2006",1 DVD,/MICROSOFT//SQL//SERVEUR//LOGICIEL/
CDR.030,MICROSOFT LICENSING,Microsoft Windows Server 2003 R2 : Servers Windows,"Ouagadougou : MICROSOFT CORPORATION, 2007","CD 1 et 2, entreprise éd.",/MICROSOFT//WINDOWS//SERVEUR/
DVD.006,MICROSOFT LICENSING,Microsoft Office Professional Plus 2007 ; Applications,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT OFFICE//PROFESSION//LOGICIEL/
DVD.007,MICROSOFT LICENSING,Microsoft Windows Server TM 2003 for Itanium Based,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//WINDOWS//SERVEUR/
DVD.008,MICROSOFT LICENSING,Microsoft Windows Vista TM Enterprise : systems,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//WINDOWS VISTA//ASSURANCE//ENTREPRISE/
DVD.009,MICROSOFT LICENSING,Microsoft Windows Vista TM Business : systems Windows,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//WINDOWS VISTA//CLIENTELE//AFFAIRE/
DVD.010,MICROSOFT LICENSING,Microsoft system center OPS Manager Server 2007 :,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//SERVEUR//MANAGEMENT//LOGICIEL/
DVD.011,MICROSOFT LICENSING,Microsoft Office SharePoint Server 2007 : Servers,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT OFFICE//SHAREPOINT//SERVEUR//LOGICIEL/
DVD.012,MICROSOFT LICENSING,"Server Applications : Microsoft SharePoint, Microsoft","Ouagadougou : MICROSOFT CORPORATION, 2007",,/SERVEUR//MICROSOFT//SHAREPOINT//OFFICE
DVD.013,MICROSOFT LICENSING,Microsoft Windows Server TM 2008 : Servers Windows 2008,"Ouagadougou : MICROSOFT CORPORATION, 2008",Standard x64 édition,/MICROSOFT//WINDOWS//SERVEUR/
DVD.014,MICROSOFT LICENSING,Microsoft System Center OPS Manager Server 2007 with,"Ouagadougou : MICROSOFT CORPORATION, 2008",,/MICROSOFT//SERVEUR//TECHNOLOGIE//MANAGEMENT/
DVD.015,MICROSOFT LICENSING,Microsoft Windows Vista TM Business : Systems Windows,"Ouagadougou : MICROSOFT CORPORATION, 2008",,/MICROSOFT//WINDOWS VISTA//AFFAIRE//CLIENTELE/
DVD.016,MICROSOFT LICENSING,Windows Servers 2008 R2 Enterprise ; Servers Windows,"Ouagadougou : MICROSOFT CORPORATION, 2008",X64 / 64 - bit,/WINDOWS//SERVEUR//ENTREPRISE//MICROSOFT/
DVD.017,MICROSOFT LICENSING,Microsoft Windows 7 professional : systems Windows,"Ouagadougou : MICROSOFT CORPORATION, 2009",,/MICROSOFT//WINDOWS//CLIENTELE//AFFAIRE/
DVD.018,MICROSOFT LICENSING,Microsoft Exchange Server 2010 standard : Servers,"Ouagadougou : MICROSOFT CORPORATION, 2009",,/MICROSOFT//EXCHANGE//SERVEUR//LOGICIEL/
DVD.019,MICROSOFT LICENSING,Microsoft Office Professional Plus 2010 : applications,"Ouagadougou : MICROSOFT CORPORATION, 2010",,/MICROSOFT OFFICE//LOGICIEL/
DVD.020,MICROSOFT LICENSING,Microsoft SQL Server 2008 R2 Enterprise : Servers,"Ouagadougou : MICROSOFT CORPORATION, 2010",,/MICROSOFT//SQL//SERVEUR//ENTREPRISE/
DVD.021,MICROSOFT LICENSING,Microsoft Office Professional Plus 2010 : Applications,"Ouagadougou : MICROSOFT CORPORATION, 2011",,/MICROSOFT OFFICE//LOGICIEL/
DVD.022,MICROSOFT LICENSING,Microsoft Windows 7 professional : systems Windows,"Ouagadougou : MICROSOFT CORPORATION, 2011",,/MICROSOFT//WINDOWS//CLIENTELE//AFFAIRE/
DVD.023,MICROSOFT LICENSING,Microsoft Windows Server 2008 R2 standard : Servers,"Ouagadougou : MICROSOFT CORPORATION, 2011",,/MICROSOFT//WINDOWS//SERVEUR/
DVD.024,MICROSOFT LICENSING,Microsoft Office Professional Plus 2010 : Applications,"Ouagadougou : MICROSOFT CORPORATION, 2012",w/service Pact 1,/MICROSOFT OFFICE//LOGICIEL/
DVD.025,MICROSOFT LICENSING,Microsoft Office Professional Plus 2013 : Applications,"Ouagadougou : MICROSOFT CORPORATION, 2012",,/MICROSOFT OFFICE//LOGICIEL/
DVD.026,MICROSOFT LICENSING,Microsoft Windows 8 Pro : Systems Windows client :,"Ouagadougou : MICROSOFT CORPORATION, 2012",32-bit x 86 Full,/MICROSOFT//WINDOWS//CLIENTELE//AFFAIRE/
DVD.027,MICROSOFT LICENSING,Microsoft Windows Server 2012 standard : Servers,"Ouagadougou : MICROSOFT CORPORATION, 2012",,/MICROSOFT//WINDOWS//SERVEUR/
DVD.028,MICROSOFT LICENSING,Microsoft Exchange Server standard 2013 : Servers,"Ouagadougou : MICROSOFT CORPORATION, 2012",,/MICROSOFT//EXCHANGE//SERVEUR//LOGICIEL/
DVD.029,SYMANTEC,Veritas Netbackup : Server / Enterprise Server V6.5,"s.l. : SYMANTEC CORPORATION, 2007",,/SYMANTEC//SERVEUR//ENTREPRISE//SECURITE INFORMATIQUE/
