ref,titre,contenu,analyse_diplomatique,date
0001/ST,ETATS JOURNALIERS JANVIER A JUIN 2000,"PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(ETAT),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN 2000"
0002/ST,ETATS JOURNALIERS JUILLET A DECEMBRE 2000,"PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(ETAT),"JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0003/ST,BONS DE TRANSFERT STSL,"PRODUIT PETROLIER, ENLEVEMENT, TRANSPORT, STSL",(BON),2000
0004/ST,ETATS RECAPITULATIFS DES ENLEVEMENTS A LA GESTOCI ET A LA STSL,"PRODUIT PETROLIER, DROITURE, TRANSPORT, STSL, GESTOCI, DEPOT COTIER",(ETAT),2000-2002
0005/ST,"TRANSFERT PAR FER : SITARAIL, PREAVIS D'ARRIVEE DE WAGONSS","PRODUIT PETROLIER, SITARAIL, TRANSPORT, RECEPTION, GESTOCI","(FAX, TELEX)",1999-2000
0006/ST,"ENLEVEMENT DES PRODUITS JANVIER, FEVRIER, MARS 2000","PRODUIT PETROLIER, ENLEVEMENT, TRANSPORT",(ETAT),"JANVIER, FEVRIER, MARS 2000"
0007/ST,"ENLEVEMENT DES PRODUITS AVRIL, MAI, JUIN 2000","PRODUIT PETROLIER, ENLEVEMENT, TRANSPORT",(ETAT),"AVRIL, MAI, JUIN 2000"
0008/ST,"ENLEVEMENT DES PRODUITS JUILLET, AOUT 2000","PRODUIT PETROLIER, ENLEVEMENT, TRANSPORT",(ETAT),"JUILLET, AOUT 2000"
0009/ST,"ENLEVEMENT DES PRODUITS SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2000","PRODUIT PETROLIER, ENLEVEMENT, TRANSPORT",(ETAT),"SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0010/ST,ENLEVEMENT DES PRODUITS PETROLIERS,"PRODUIT PETROLIER, ENLEVEMENT, TRANSPORT",(ETAT),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET 2000"
0011/ST,ETATS DECADAIRES ET MENSUELS : SORTIES ET RECEPTIONS,"PRODUIT PETROLIER, SORTIE, RECEPTION, BINGO",(ETAT),2000
0012/ST,ETATS DECADAIRES ET MENSUELS : SORTIES ET RECEPTIONS 2001,"PRODUIT PETROLIER, SORTIE, RECEPTION, BINGO",(ETAT),2001
