ref,cote,titre,contenu,analyse_diplomatique,date
0001,0001/DG,"LETTRE ARRIVEE, FAX ARRIVEE ET DEPART, NOTES DE SERVICE - DOSSIER POMPE BOBO 2000-2002","POMPE, DEPOT DE BOBO DIOULASSO, LETTRE ARRIVEE, COURRIER DEPART.","(CORRESPONDANCE, DOSSIER)",2000-2002.
0002,0002/DG,COURRIER DEPART 2002,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0003,0003/DG,COURRIER DEPART 2003,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0004,0004/DG,COURRIER DEPART 2004,"COURRIER, SONABHY.",(CORRESPONDANCE),2004.
0005,0005/DG,COURIER ARRIVE ET DEPART DU PRESIDENT DU CONSEIL D'ADMINISTRATION,"CONSEIL D'ADMINISTRATION, COURRIER.",(CORRESPONDANCE),2000.
0006,0006/DG,COURRIER ARRIVE 2000,COURRIER.,(CORRESPONDANCE),2000.
0007,0007/DG,COURRIER ARRIVE 2001,COURRIER.,(CORRESPONDANCE),2001.
0008,0008/DG,COURRIER ARRIVE 2002,COURRIER.,(CORRESPONDANCE),2002.
0009,0009/DG,COURRIER ARRIVE 2003,COURRIER,(CORRESPONDANCE),2003.
0010,0010/DG,COURRIER ARRIVE I 2004,COURRIER.,(CORRESPONDANCE),2004.
0011,0011/DG,COURRIER ARRIVE II 2004,COURRIER.,(CORRESPONDANCE),2004.
0012,0012/DG,COURRIER ARRIVE INTERNE DE LA DIRECTION TECHNIQUE,"COURRIER, DIRECTION TECHNIQUE.",(CORRESPONDANCE),2003. 2004.
0013,0013/DG,COURRIER ARRIVE INTERNE DE LA DAF ET AUTRES SERVICES,"COURRIER, DIRECTION ADMINISTRATIVE ET FINANCIERE, SERVICE.",(CORRESPONDANCE),2003. 2004.
0014,0014/DG,ASSEMBLEE GENERALE DES SOCIETES D'ETAT : SESSION VIII,"ASSEMBLEE GENERALE, SOCIETE D'ETAT.","(RAPPORT, CORRESPONDANCE)",2000.
0015,0015/DG,ASSEMBLEE GENERALE DES SOCIETES D'ETAT: SESSON IX,"ASSEMBLEE GENERALE, SOCIETE D'ETAT.","(RAPPORT, CORRESPONDANCE)",2001.
0016,0016/DG,"ASSEMBLEE GENERALE DES SOCIETES D'ETAT : SESSION X ""2002 ; SESSION XI DU 26 AU 27 JUIN 2003.""","ASSEMBLEE GENERALE, SOCIETE D'ETAT.","(RAPPORT, CORRESPONDANCE)",2002. 2003.
0017,0017/DG,ASSEMBLEE GENERALE DES SOCIETES D'ETAT : SESSION XII,"ASSEMBLEE GENERALE, SOCIETE D'ETAT.","(RAPPORT, CORRESPONDANCE)",24 JUIN 2004.
0018,0018/DG,ASSEMBLEE GENERALE DES SOCIETES D'ETAT : SESSION XIII DU 30 JUIN AU 01 JUILLET 2005,"ASSEMBLEE GENERALE, SOCIETE D'ETAT.","(RAPPORT, CORRESPONDANCE)",2005.
0019,0019/DG,BUDGETS - EXECUTION BUDGETAIRE - BUDGET/PROGRAMME,"BUDGET, BUDGET PROGRAMME, SONABHY.",(RAPPORT),2000.
0020,0020/DG,"SONABHY : ORGANIGRAMME, STATUTS DU PERSONNEL, REGLEMENTS INTERIEURS","ORGANIGRAMME, STATUT DU PERSONNEL, REGLEMENT INTERIEUR.","(DOCUMENT ADMINISTRATIF, RAPPORT)",2000.
0021,0021/DG,CONSEIL D'ADMINISTRATION SUR EXAMEN DES COMPTES 1999,"CONSEIL D'ADMINISTRATION, COMPTE, ETAT FINANCIER.",(DOSSIER),2000.
0022,0022/DG,BILANS - ETATS FINANCIERS - PLANS DE COMPTES - LIASSES FISCALES,"BILAN, ETAT FINANCIER, LIASSE FISCALE, PLAN COMPTABLE.",(DOCUMENT FINANCIER ET COMPTABLE),2000.
0023,0023/DG,COMPTES RENDUS - PROCES VERBAUX,"COMPTE RENDU, PROCES VERBAL, PASSATION DE SERVICE.",(RAPPORT),2000.
0024,0024/DG,RAPPORTS D'ACTIVITES,"ACTIVITE, SONABHY.",(RAPPORT),2000.
0025,0025/DG,COMMISSSAIRES AUX COMPTES,"COMMISSARIAT AUX COMPTES, SONABHY.",(RAPPORT),2000.
0026,0026/DG,CONSEIL D'ADMINISTRATION DE LA SIR,"SIR, CONSEIL D'ADMINISTRATION.",(DOSSIER),2002-2003.
0027,0027/DG,CONSEIL D'ADMINISTRATION DE LA SIR,"SIR, CONSEIL D'ADMINISTRATION.",(DOSSIER),2004.
0028,0028/DG,CONSEIL D'ADMINISTRATION DE LA SIR,"SIR, CONSEIL D'ADMINISTRATION.",(DOSSIER),2005.
0029,0029/DG,CONSEIL D'ADMINISTRATION DE LA SONABHY : 16 JANVIER 2001 ET 05 FEVRIER 2002,"CONSEIL D'ADMINISTRATION, SONABHY.",(DOSSIER),2001.
0030,0030/DG,CONSEIL D'ADMINISTRATION DE LA SONABHY : 18 JANVIER 2002 ET 20 DECEMBRE 2002,"CONSEIL D'ADMINISTRATION, SONABHY.",(DOSSIER),2002.
0031,0031/DG,CONSEIL D'ADMINISTRATION DE LA SONABHY : 29 AVRIL 2003 ET 23 DECEMBRE 2003,"CONSEIL D'ADMINISTRATION, SONABHY.",(DOSSIER),2003.
0032,0032/DG,CONSEIL D'ADMINISTRATION DE LA SONABHY : 26 AVRIL 2004  ET 29 DECEMBRE 2004,"CONSEIL D'ADMINISTRATION, SONABHY.",(DOSSIER),2004.
0033,0033/DG,CONSEIL D'ADMINISTRATION DE LA SONABHY : 18 MARS 2005 ET 09 SEPTEMBRE 2005,"CONSEIL D'ADMINISTRATION, SONABHY.",(DOSSIER),2005.
0034,0034/DG,ORDRES DE MISSION 2001,"MISSION, SONABHY.",(ORDRE DE MISSION),2001.
0035,0035/DG,ORDRES DE MISSION 2002,"MISSION, SONABHY.",(ORDRE DE MISSION),2002.
0036,0036/DG,ORDRES DE MISSION 2003,"MISSION, SONABHY.",(ORDRE DE MISSION),2003.
0037,0037/DG,ORDRES DE MISSION 2004,"MISSION, SONABHY.",(ORDRE DE MISSION),2004.
0038,0038/DG,PLAN STRATEGIQUE 2004-2008 DE LA SONABHY,"SONABHY, PLAN STRATEGIQUE.",(DOSSIER),2004-2005.
0039,0039/DG,PLAN STRATEGIQUE 2004-2008 DE LA SONABHY : PLANS D'ACTIONS,"SONABHY, PLAN STRATEGIQUE.",(PLAN D'ACTION),2004.
