ref,cote,titre,contenu,analyse_diplomatique,date
1,0001/SMO,BORDEREAUX DE LIVRAISON ROSE JANVIER I 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"JANVIER I, 2000"
2,0002/SMO,BORDEREAUX DE LIVRAISON ROSE JANVIER II 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"JANVIER II, 2000"
3,0003/SMO,BORDEREAUX DE LIVRAISON ROSE FEVRIER I 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"FEVRIER I, 2000"
4,0004/SMO,BORDEREAUX DE LIVRAISON ROSE FEVRIER II 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"FEVRIER II, 2000"
5,0005/SMO,BORDEREAUX DE LIVRAISON ROSE MARS I 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"MARS I, 2000"
6,0006/SMO,BORDEREAUX DE LIVRAISON ROSE MARS II 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"MARS II, 2000"
7,0007/SMO,BORDEREAUX DE LIVRAISON ROSE AVRIL I 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"AVRIL I, 2000"
8,0008/SMO,BORDEREAUX DE LIVRAISON ROSE AVRIL II 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"AVRIL II, 2000"
9,0009/SMO,BORDEREAUX DE LIVRAISON ROSE MAI I 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"MAI I, 2000"
10,0010/SMO,BORDEREAUX DE LIVRAISON ROSE MAI II 2000,"BORDEREAU, LIVRAISON, PRODUIT PETROLIER, MOUVEMENT, SONABHY, BINGO",(BORDEREAU),"MAI II, 2000"
