MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,OBSERVATIONS,PASSAGE GED,SORT FINAL,CHARGEMENT BLEU
00001,0001/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 02-04 JANVIER 2020,2018,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00002,0002/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 06-08 JANVIER 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00003,0003/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 09-13 JANVIER 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00004,0004/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 14-15 JANVIER 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00036,0037/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 02-05 MAI 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00037,0038/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 06-08 MAI 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00038,0039/LIV,LIVRAISON DES PRODUITS PETROLIERS: SORTIE DES PRODUITS PETROLIES ( BLANC) DU DEPOT DE BINGO.,"LIVRAISON, SORTIE, MARKETER, PRODUIT PETROLIER , COMPTA STOCK, DEPOT DE BINGO","(BON , BORDEREAU)",DU 11-13 MAI 2020,2020,DOCUMENTS COMPTA STOCK. COTATION REPRISE EN 2020 POUR LIVRER,OUI,CONSERVATION,
00039,0041/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 15 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00403,402/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 16 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00404,403/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 17 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00405,404/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 20 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00406,405/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 21 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00407,406/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 22 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
00408,407/LIV,LIVRAISON DES PRODUITS PETROLIERS:BONS DE CHARGEMENT PRODUIT BLANC,"LIVRAISON, CHARGEMENT, PRODUIT BLANC, PRODUIT PETROLIER, MOUVEMENT, DEPOT DE BINGO",(BON),DU 23 JANVIER 2020,2020,BONS DE CHARGEMENT ROSE DU SERVICE MOUVEMENT,OUI,CONSERVATION,
